"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
"2015M12","Total","Extra EU-28","Total","Total","First time applicant","Person","110 240",""
"2015M12","Total","Syria","Total","Total","Asylum applicant","Person","35 705",""
"2015M12","Total","Syria","Total","Total","First time applicant","Person","35 485",""
"2016M01","European Union (28 countries)","Extra EU-28","Total","Total","Asylum applicant","Person","94 010",""
"2016M01","European Union (28 countries)","Extra EU-28","Total","Total","First time applicant","Person","90 290",""
"2016M01","European Union (28 countries)","Syria","Total","Total","Asylum applicant","Person","32 905",""
"2016M01","European Union (28 countries)","Syria","Total","Total","First time applicant","Person","32 640",""
"2016M01","Belgium","Extra EU-28","Total","Total","Asylum applicant","Person","2 840",""
"2016M01","Belgium","Extra EU-28","Total","Total","First time applicant","Person","2 395",""
"2016M01","Belgium","Syria","Total","Total","Asylum applicant","Person","525",""
"2016M01","Belgium","Syria","Total","Total","First time applicant","Person","510",""
"2016M01","Bulgaria","Extra EU-28","Total","Total","Asylum applicant","Person","1 965",""
"2016M01","Bulgaria","Extra EU-28","Total","Total","First time applicant","Person","1 910",""
"2016M01","Bulgaria","Syria","Total","Total","Asylum applicant","Person","220",""
"2016M01","Bulgaria","Syria","Total","Total","First time applicant","Person","205",""
"2016M01","Czech Republic","Extra EU-28","Total","Total","Asylum applicant","Person","110",""
"2016M01","Czech Republic","Extra EU-28","Total","Total","First time applicant","Person","100",""
"2016M01","Czech Republic","Syria","Total","Total","Asylum applicant","Person","5",""
"2016M01","Czech Republic","Syria","Total","Total","First time applicant","Person","5",""
"2016M01","Denmark","Extra EU-28","Total","Total","Asylum applicant","Person","1 650",""
"2016M01","Denmark","Extra EU-28","Total","Total","First time applicant","Person","1 625",""
"2016M01","Denmark","Syria","Total","Total","Asylum applicant","Person","475",""
"2016M01","Denmark","Syria","Total","Total","First time applicant","Person","470",""
"2016M01","Germany (until 1990 former territory of the FRG)","Extra EU-28","Total","Total","Asylum applicant","Person","52 080",""
"2016M01","Germany (until 1990 former territory of the FRG)","Extra EU-28","Total","Total","First time applicant","Person","50 530",""
"2016M01","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","Asylum applicant","Person","27 295",""
"2016M01","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","First time applicant","Person","27 145",""
"2016M01","Estonia","Extra EU-28","Total","Total","Asylum applicant","Person","0",""
"2016M01","Estonia","Extra EU-28","Total","Total","First time applicant","Person","0",""
"2016M01","Estonia","Syria","Total","Total","Asylum applicant","Person","0",""
"2016M01","Estonia","Syria","Total","Total","First time applicant","Person","0",""
"2016M01","Ireland","Extra EU-28","Total","Total","Asylum applicant","Person","215",""
"2016M01","Ireland","Extra EU-28","Total","Total","First time applicant","Person","210",""
"2016M01","Ireland","Syria","Total","Total","Asylum applicant","Person","20",""
"2016M01","Ireland","Syria","Total","Total","First time applicant","Person","20",""
"2016M01","Greece","Extra EU-28","Total","Total","Asylum applicant","Person","1 170",""
"2016M01","Greece","Extra EU-28","Total","Total","First time applicant","Person","1 050",""
"2016M01","Greece","Syria","Total","Total","Asylum applicant","Person","225",""
"2016M01","Greece","Syria","Total","Total","First time applicant","Person","220",""
"2016M01","Spain","Extra EU-28","Total","Total","Asylum applicant","Person","1 105",""
"2016M01","Spain","Extra EU-28","Total","Total","First time applicant","Person","1 095",""
"2016M01","Spain","Syria","Total","Total","Asylum applicant","Person","150",""
"2016M01","Spain","Syria","Total","Total","First time applicant","Person","150",""
"2016M01","France","Extra EU-28","Total","Total","Asylum applicant","Person","6 120",""
"2016M01","France","Extra EU-28","Total","Total","First time applicant","Person","5 665",""
"2016M01","France","Syria","Total","Total","Asylum applicant","Person","385",""
"2016M01","France","Syria","Total","Total","First time applicant","Person","385",""
"2016M01","Croatia","Extra EU-28","Total","Total","Asylum applicant","Person","20",""
"2016M01","Croatia","Extra EU-28","Total","Total","First time applicant","Person","20",""
"2016M01","Croatia","Syria","Total","Total","Asylum applicant","Person","0",""
"2016M01","Croatia","Syria","Total","Total","First time applicant","Person","0",""
"2016M01","Italy","Extra EU-28","Total","Total","Asylum applicant","Person","7 500",""
"2016M01","Italy","Extra EU-28","Total","Total","First time applicant","Person","7 415",""
"2016M01","Italy","Syria","Total","Total","Asylum applicant","Person","20",""
"2016M01","Italy","Syria","Total","Total","First time applicant","Person","20",""
"2016M01","Cyprus","Extra EU-28","Total","Total","Asylum applicant","Person","225",""
"2016M01","Cyprus","Extra EU-28","Total","Total","First time applicant","Person","220",""
"2016M01","Cyprus","Syria","Total","Total","Asylum applicant","Person","120",""
"2016M01","Cyprus","Syria","Total","Total","First time applicant","Person","120",""
"2016M01","Latvia","Extra EU-28","Total","Total","Asylum applicant","Person","10",""
"2016M01","Latvia","Extra EU-28","Total","Total","First time applicant","Person","10",""
"2016M01","Latvia","Syria","Total","Total","Asylum applicant","Person","0",""
"2016M01","Latvia","Syria","Total","Total","First time applicant","Person","0",""
"2016M01","Lithuania","Extra EU-28","Total","Total","Asylum applicant","Person","10",""
"2016M01","Lithuania","Extra EU-28","Total","Total","First time applicant","Person","10",""
"2016M01","Lithuania","Syria","Total","Total","Asylum applicant","Person","0",""
"2016M01","Lithuania","Syria","Total","Total","First time applicant","Person","0",""
"2016M01","Luxembourg","Extra EU-28","Total","Total","Asylum applicant","Person","270",""
"2016M01","Luxembourg","Extra EU-28","Total","Total","First time applicant","Person","260",""
"2016M01","Luxembourg","Syria","Total","Total","Asylum applicant","Person","75",""
"2016M01","Luxembourg","Syria","Total","Total","First time applicant","Person","75",""
"2016M01","Hungary","Extra EU-28","Total","Total","Asylum applicant","Person","435",""
"2016M01","Hungary","Extra EU-28","Total","Total","First time applicant","Person","335",""
"2016M01","Hungary","Syria","Total","Total","Asylum applicant","Person","25",""
"2016M01","Hungary","Syria","Total","Total","First time applicant","Person","15",""
"2016M01","Malta","Extra EU-28","Total","Total","Asylum applicant","Person","110",""
"2016M01","Malta","Extra EU-28","Total","Total","First time applicant","Person","105",""
"2016M01","Malta","Syria","Total","Total","Asylum applicant","Person","25",""
"2016M01","Malta","Syria","Total","Total","First time applicant","Person","25",""
"2016M01","Netherlands","Extra EU-28","Total","Total","Asylum applicant","Person","2 660",""
"2016M01","Netherlands","Extra EU-28","Total","Total","First time applicant","Person","2 540",""
"2016M01","Netherlands","Syria","Total","Total","Asylum applicant","Person","705",""
"2016M01","Netherlands","Syria","Total","Total","First time applicant","Person","700",""
"2016M01","Austria","Extra EU-28","Total","Total","Asylum applicant","Person","5 925",""
"2016M01","Austria","Extra EU-28","Total","Total","First time applicant","Person","5 750",""
"2016M01","Austria","Syria","Total","Total","Asylum applicant","Person","1 270",""
"2016M01","Austria","Syria","Total","Total","First time applicant","Person","1 255",""
"2016M01","Poland","Extra EU-28","Total","Total","Asylum applicant","Person","615",""
"2016M01","Poland","Extra EU-28","Total","Total","First time applicant","Person","535",""
